origin,replace
吾之,我的
應用更改,套用更改
應用|XPadA|,套用|XPadA|
全屏,全螢幕
Anniversary Edition,週年紀念版
Fading Embers,餘燼漸褪
質量,品質
小姑娘,小女孩
姑娘,女人
精準步槍,精確射手步槍
呆在,待在
愛人,情人
沒法,沒辦法
部件,零件
髮揮,發揮
燒熟,煮熟
新增燃料,添加燃料
分分鐘,一下子
看上去,看起來
幾周,幾週
利落,俐落
mr|夥計,mr|小子
，夥計,
夥計,
什麼人也沒有,這裡什麼人也沒有
這兒,這裡
那兒,那裡
哪兒,哪裡
團伙,份子
迴歸,回歸
門開啟,門打開
開啟它,打開它
開啟這,打開這
被開啟,被打開
自己開啟,自己打開
把燈開啟,把燈打開
另一邊開啟,另一邊打開
太疼,太痛
呆會兒,待會兒
管頓飽,吃飽
真疼,真痛
好疼,好痛
特別疼,特別痛
疼得要命,痛得要命
疼嗎,痛嗎
有點兒疼,有點痛
很疼,很痛
沒那麼疼,沒那麼痛
這麼疼,這麼痛
疼得,痛得
疼死,痛死
頭疼,頭痛
訊息,消息
凶手,兇手
創客空間,工作坊
併,並
吞並,吞併
槍子兒,子彈
高几倍,高幾倍
點兒,點
想象,想像
里面,裡面
隧道里,隧道裡
廢墟里,廢墟裡
稀里嘩啦,稀哩嘩啦
呆著,待著
呆過,待過
呆久,待久
呆到,待到
多呆一會兒,多待一會兒
土豆,馬鈴薯
乾的,幹的
型別,類型
天后,天後
禁用,停用
決不,絕不
散彈槍,霰彈槍
錶演,表演
分離性遺忘症,解離性失憶症
炮,砲
必需,必須
身份,身分
丟失,遺失
抱團,團結
計程車兵,的士兵
必不可少,不可或缺
可真是件,真是件
那可真是,那真是
可真不小,真是不小
可真管用,真是管用
可真走運,真是走運
加高效,高效率
更高效率的火爐,高效率的火爐
更高效地,更高效率
大殺器,超強武器
在不就之前,在不久之前
冷槍,暗槍
索要,勒索
幹預,干預
馱馬,駝獸
煙,菸
菸霧,煙霧
濃菸,濃煙
倒黴,倒楣
制作,製作
亨裡克,亨里克
很管餓,很餓
捱餓,挨餓
尖利,尖銳
樂呵樂呵,放鬆一下
勁道,後勁
集裝箱,貨櫃
一柄,一把
燒燬,燒毀
其它,其他
誰定的外賣,誰點的外送
剪子,剪刀
搭造,搭建
坐等,等著
我忙著呢,我在忙
幹活,工作
全員,大家
Forget Celebrations,忘卻慶典
拆卸工具,拆解工具
扶椅,扶手椅
就將,即將
壇裝食品,罐裝食品
昂貴珠寶,貴重珠寶
鬍子先生,鬍鬚先生
夜間計劃,夜間計畫
我的計劃,我的計畫
許多的計劃,許多計畫
結婚計劃,結婚計畫
撤離計劃,撤離計畫
有個計劃,有個計畫
宏大計劃,偉大計畫
這一計劃,此一計畫
維和計劃,維和計畫
干預計劃,干預計畫
這一趨勢,此一趨勢
這一干預,此一干預
這一崗位,此一崗位
麵包房,麵包店
創作計劃,創作計畫
的計劃,的計畫
計劃的,計畫的
通道計劃,通道計畫
襲擊計劃,襲擊計畫
制定計劃,制定計畫
計劃有些眉目了,計畫有些眉目了
尚沒有計劃,還沒有計畫
有一個計劃,有一個計畫
後備計劃,備案
最新計劃,最新計畫
原計劃,原計畫
提純,提煉
我們缺少咖啡,　我們缺少咖啡
我們缺少香菸,　我們缺少香菸
心神不定,心神不寧
柴禾,柴火
將製作,將會製作
必須元件,必要元件
必須技能,必要技能
Final Cut,最終版
我們的牆上有不少,　我們的牆上有不少